career,experience,hoursPerDay,skills,target
Frontend Developer,Beginner,5,"HTML,Figma,Express",Frontend Developer
Frontend Developer,Beginner,5,"React,Scikit-Learn,Linux",Frontend Developer
Frontend Developer,Intermediate,1,"Azure,Pandas,PyTorch",Frontend Developer
Frontend Developer,Intermediate,1,"Security,Figma,Sketch",Frontend Developer
Frontend Developer,Intermediate,1,"AWS,Swift,Kotlin",Frontend Developer
Frontend Developer,Intermediate,1,"TensorFlow,JavaScript,Scikit-Learn",Frontend Developer
Frontend Developer,Intermediate,1,"GCP,Angular,Figma",Frontend Developer
Frontend Developer,Intermediate,1,"Vue,NoSQL,Azure",Frontend Developer
Frontend Developer,Intermediate,1,"GCP,Express,Security",Frontend Developer
Frontend Developer,Intermediate,1,"CSS,APIs,NumPy",Frontend Developer
Frontend Developer,Intermediate,1,"Node.js,CSS,AWS",Frontend Developer
Frontend Developer,Intermediate,1,"Kotlin,Angular,Sketch",Frontend Developer
Frontend Developer,Intermediate,2,"APIs,PyTorch,Docker",Frontend Developer
Frontend Developer,Intermediate,2,"Git,JavaScript,Scikit-Learn",Frontend Developer
Frontend Developer,Intermediate,2,"Azure,Scikit-Learn,HTML",Frontend Developer
Frontend Developer,Intermediate,2,"Git,MongoDB,Security",Frontend Developer
Frontend Developer,Intermediate,2,"NoSQL,Pandas,HTML",Frontend Developer
Frontend Developer,Intermediate,2,"Kubernetes,AWS,Sketch",Frontend Developer
Frontend Developer,Intermediate,2,"HTML,Microservices,TensorFlow",Frontend Developer
Frontend Developer,Intermediate,2,"TensorFlow,HTML,Git",Frontend Developer
Frontend Developer,Intermediate,2,"MongoDB,NumPy,React",Frontend Developer
Frontend Developer,Intermediate,2,"Azure,Docker,Kotlin",Frontend Developer
Frontend Developer,Intermediate,3,"Kubernetes,Scikit-Learn,JavaScript",Frontend Developer
Frontend Developer,Intermediate,3,"CI/CD,CSS,Express",Frontend Developer
Frontend Developer,Intermediate,3,"CI/CD,Python,Kotlin",Frontend Developer
Frontend Developer,Intermediate,3,"Swift,Scikit-Learn,Express",Frontend Developer
Frontend Developer,Intermediate,3,"Kotlin,AWS,NumPy",Frontend Developer
Frontend Developer,Intermediate,3,"Sketch,Linux,Kubernetes",Frontend Developer
Frontend Developer,Intermediate,3,"CI/CD,Kubernetes,Sketch",Frontend Developer
Frontend Developer,Intermediate,3,"JavaScript,Pandas,React",Frontend Developer
Frontend Developer,Intermediate,3,"Vue,NumPy,Scikit-Learn",Frontend Developer
Frontend Developer,Intermediate,3,"CI/CD,Pandas,SQL",Frontend Developer
Frontend Developer,Intermediate,4,"Linux,Docker,Angular",Frontend Developer
Frontend Developer,Intermediate,4,"NoSQL,Node.js,CSS",Frontend Developer
Frontend Developer,Intermediate,4,"CSS,JavaScript,Security",Frontend Developer
Frontend Developer,Intermediate,4,"CSS,AWS,PostgreSQL",Frontend Developer
Frontend Developer,Intermediate,4,"Docker,React,JavaScript",Frontend Developer
Frontend Developer,Intermediate,4,"Python,GCP,Angular",Frontend Developer
Frontend Developer,Intermediate,4,"AWS,PyTorch,GCP",Frontend Developer
Frontend Developer,Intermediate,4,"React,HTML,APIs",Frontend Developer
Frontend Developer,Intermediate,4,"Microservices,Node.js,Azure",Frontend Developer
Frontend Developer,Intermediate,4,"Azure,NumPy,Swift",Frontend Developer
Frontend Developer,Intermediate,5,"Figma,Microservices,Angular",Frontend Developer
Frontend Developer,Intermediate,5,"Linux,Azure,TensorFlow",Frontend Developer
Frontend Developer,Intermediate,5,"Docker,CSS,Node.js",Frontend Developer
Frontend Developer,Intermediate,5,"AWS,Scikit-Learn,CSS",Frontend Developer
Frontend Developer,Intermediate,5,"Swift,Sketch,Angular",Frontend Developer
Frontend Developer,Intermediate,5,"Microservices,Express,CI/CD",Frontend Developer
Frontend Developer,Intermediate,5,"Scikit-Learn,GCP,APIs",Frontend Developer
Frontend Developer,Intermediate,5,"PyTorch,Python,Figma",Frontend Developer
Frontend Developer,Intermediate,5,"CSS,Linux,TensorFlow",Frontend Developer
Frontend Developer,Intermediate,5,"Kubernetes,Docker,Express",Frontend Developer
Frontend Developer,Advanced,1,"Swift,JavaScript,Node.js",Frontend Developer
Frontend Developer,Advanced,1,"PyTorch,Angular,CSS",Frontend Developer
Frontend Developer,Advanced,1,"APIs,Docker,NoSQL",Frontend Developer
Frontend Developer,Advanced,1,"NumPy,Swift,Sketch",Frontend Developer
Frontend Developer,Advanced,1,"PyTorch,JavaScript,HTML",Frontend Developer
Frontend Developer,Advanced,1,"NoSQL,CI/CD,NumPy",Frontend Developer
Frontend Developer,Advanced,1,"Python,CSS,Vue",Frontend Developer
Frontend Developer,Advanced,1,"Sketch,Docker,JavaScript",Frontend Developer
Frontend Developer,Advanced,1,"Node.js,Scikit-Learn,Python",Frontend Developer
Frontend Developer,Advanced,1,"SQL,Python,Vue",Frontend Developer
Frontend Developer,Advanced,2,"Vue,Docker,Swift",Frontend Developer
Frontend Developer,Advanced,2,"Pandas,React,Kubernetes",Frontend Developer
Frontend Developer,Advanced,2,"Linux,GCP,Docker",Frontend Developer
Frontend Developer,Advanced,2,"Node.js,Docker,Kotlin",Frontend Developer
Frontend Developer,Advanced,2,"AWS,Vue,NoSQL",Frontend Developer
Frontend Developer,Advanced,2,"NoSQL,MongoDB,Sketch",Frontend Developer
Frontend Developer,Advanced,2,"Figma,CI/CD,Node.js",Frontend Developer
Frontend Developer,Advanced,2,"APIs,CI/CD,SQL",Frontend Developer
Frontend Developer,Advanced,2,"Scikit-Learn,Vue,Swift",Frontend Developer
Frontend Developer,Advanced,2,"TensorFlow,HTML,Pandas",Frontend Developer
Frontend Developer,Advanced,3,"TensorFlow,Express,Microservices",Frontend Developer
Frontend Developer,Advanced,3,"GCP,Kotlin,Git",Frontend Developer
Frontend Developer,Advanced,3,"Python,GCP,CSS",Frontend Developer
Frontend Developer,Advanced,3,"PyTorch,Azure,CSS",Frontend Developer
Frontend Developer,Advanced,3,"Microservices,PostgreSQL,Kubernetes",Frontend Developer
Frontend Developer,Advanced,3,"Express,PyTorch,Node.js",Frontend Developer
Frontend Developer,Advanced,3,"TensorFlow,APIs,Git",Frontend Developer
Frontend Developer,Advanced,3,"Pandas,Scikit-Learn,NumPy",Frontend Developer
Frontend Developer,Advanced,3,"NumPy,NoSQL,AWS",Frontend Developer
Frontend Developer,Advanced,3,"Security,PyTorch,CSS",Frontend Developer
Frontend Developer,Advanced,4,"Docker,NoSQL,APIs",Frontend Developer
Frontend Developer,Advanced,4,"Figma,TensorFlow,PyTorch",Frontend Developer
Frontend Developer,Advanced,4,"React,HTML,Azure",Frontend Developer
Frontend Developer,Advanced,4,"Scikit-Learn,HTML,React",Frontend Developer
Frontend Developer,Advanced,4,"AWS,Scikit-Learn,Azure",Frontend Developer
Frontend Developer,Advanced,4,"Microservices,Git,Pandas",Frontend Developer
Frontend Developer,Advanced,4,"Angular,SQL,NoSQL",Frontend Developer
Frontend Developer,Advanced,4,"Node.js,Azure,TensorFlow",Frontend Developer
Frontend Developer,Advanced,4,"Kotlin,TensorFlow,Python",Frontend Developer
Frontend Developer,Advanced,4,"NoSQL,CI/CD,SQL",Frontend Developer
Frontend Developer,Advanced,5,"HTML,APIs,PyTorch",Frontend Developer
Frontend Developer,Advanced,5,"Git,AWS,Sketch",Frontend Developer
Frontend Developer,Advanced,5,"Express,NoSQL,Pandas",Frontend Developer
Frontend Developer,Advanced,5,"MongoDB,AWS,Figma",Frontend Developer
Frontend Developer,Advanced,5,"GCP,CI/CD,Figma",Frontend Developer
Frontend Developer,Advanced,5,"Security,HTML,PyTorch",Frontend Developer
Frontend Developer,Advanced,5,"Security,GCP,PyTorch",Frontend Developer
Frontend Developer,Advanced,5,"Scikit-Learn,CSS,Node.js",Frontend Developer
Frontend Developer,Advanced,5,"Express,Kubernetes,AWS",Frontend Developer
Frontend Developer,Advanced,5,"Docker,Vue,CSS",Frontend Developer
Backend Developer,Beginner,1,"SQL,Docker,Sketch",Backend Developer
Backend Developer,Beginner,1,"NoSQL,TensorFlow,Python",Backend Developer
Backend Developer,Beginner,1,"Azure,Linux,Pandas",Backend Developer
Backend Developer,Beginner,1,"Linux,CI/CD,Azure",Backend Developer
Backend Developer,Beginner,1,"Scikit-Learn,Git,CI/CD",Backend Developer
Backend Developer,Beginner,1,"MongoDB,CI/CD,Swift",Backend Developer
Backend Developer,Beginner,1,"Scikit-Learn,Linux,AWS",Backend Developer
Backend Developer,Beginner,1,"Docker,APIs,Sketch",Backend Developer
Backend Developer,Beginner,1,"Git,APIs,GCP",Backend Developer
Backend Developer,Beginner,1,"SQL,Pandas,APIs",Backend Developer
Backend Developer,Beginner,2,"Microservices,Sketch,PyTorch",Backend Developer
Backend Developer,Beginner,2,"SQL,Python,CSS",Backend Developer
Backend Developer,Beginner,2,"GCP,PyTorch,MongoDB",Backend Developer
Backend Developer,Beginner,2,"Kotlin,Figma,CSS",Backend Developer
Backend Developer,Beginner,2,"Figma,Node.js,Git",Backend Developer
Backend Developer,Beginner,2,"Scikit-Learn,HTML,AWS",Backend Developer
Backend Developer,Beginner,2,"Microservices,Swift,Scikit-Learn",Backend Developer
Backend Developer,Beginner,2,"TensorFlow,Scikit-Learn,CI/CD",Backend Developer
Backend Developer,Beginner,2,"SQL,Swift,NumPy",Backend Developer
Backend Developer,Beginner,2,"Python,AWS,NoSQL",Backend Developer
Backend Developer,Beginner,3,"AWS,Python,Microservices",Backend Developer
Backend Developer,Beginner,3,"MongoDB,AWS,SQL",Backend Developer
Backend Developer,Beginner,3,"Kubernetes,SQL,Angular",Backend Developer
Backend Developer,Beginner,3,"NumPy,Docker,Python",Backend Developer
Backend Developer,Beginner,3,"Linux,SQL,Node.js",Backend Developer
Backend Developer,Beginner,3,"Python,Microservices,AWS",Backend Developer
Backend Developer,Beginner,3,"Security,Figma,Sketch",Backend Developer
Backend Developer,Beginner,3,"Git,Azure,React",Backend Developer
Backend Developer,Beginner,3,"NumPy,CI/CD,HTML",Backend Developer
Backend Developer,Beginner,3,"MongoDB,Node.js,AWS",Backend Developer
Backend Developer,Beginner,4,"HTML,Sketch,TensorFlow",Backend Developer
Backend Developer,Beginner,4,"Figma,Vue,HTML",Backend Developer
Backend Developer,Beginner,4,"Kubernetes,APIs,Express",Backend Developer
Backend Developer,Beginner,4,"Swift,GCP,Pandas",Backend Developer
Backend Developer,Beginner,4,"TensorFlow,Azure,Git",Backend Developer
Backend Developer,Beginner,4,"Python,Kubernetes,PyTorch",Backend Developer
Backend Developer,Beginner,4,"CI/CD,JavaScript,SQL",Backend Developer
Backend Developer,Beginner,4,"PyTorch,NoSQL,Swift",Backend Developer
Backend Developer,Beginner,4,"NumPy,Microservices,Express",Backend Developer
Backend Developer,Beginner,4,"React,Node.js,HTML",Backend Developer
Backend Developer,Beginner,5,"Express,Figma,Docker",Backend Developer
Backend Developer,Beginner,5,"CSS,Docker,Vue",Backend Developer
Backend Developer,Beginner,5,"MongoDB,Node.js,Express",Backend Developer
Backend Developer,Beginner,5,"MongoDB,HTML,Git",Backend Developer
Backend Developer,Beginner,5,"MongoDB,APIs,PostgreSQL",Backend Developer
Backend Developer,Beginner,5,"MongoDB,Azure,JavaScript",Backend Developer
Backend Developer,Beginner,5,"Pandas,PyTorch,Sketch",Backend Developer
Backend Developer,Beginner,5,"Express,NoSQL,MongoDB",Backend Developer
Backend Developer,Beginner,5,"Express,SQL,Kotlin",Backend Developer
Backend Developer,Beginner,5,"Microservices,NoSQL,Git",Backend Developer
Backend Developer,Intermediate,1,"Python,MongoDB,Kotlin",Backend Developer
Backend Developer,Intermediate,1,"Kubernetes,Linux,Git",Backend Developer
Backend Developer,Intermediate,1,"Swift,Python,HTML",Backend Developer
Backend Developer,Intermediate,1,"MongoDB,Azure,CI/CD",Backend Developer
Backend Developer,Intermediate,1,"Linux,TensorFlow,PostgreSQL",Backend Developer
Backend Developer,Intermediate,1,"Node.js,JavaScript,Angular",Backend Developer
Backend Developer,Intermediate,1,"SQL,Swift,AWS",Backend Developer
Backend Developer,Intermediate,1,"APIs,Sketch,Python",Backend Developer
Backend Developer,Intermediate,1,"Kotlin,APIs,JavaScript",Backend Developer
Backend Developer,Intermediate,1,"Sketch,APIs,Scikit-Learn",Backend Developer
Backend Developer,Intermediate,2,"Pandas,CI/CD,React",Backend Developer
Backend Developer,Intermediate,2,"Azure,Node.js,PyTorch",Backend Developer
Backend Developer,Intermediate,2,"Python,Angular,AWS",Backend Developer
Backend Developer,Intermediate,2,"Figma,Scikit-Learn,Docker",Backend Developer
Backend Developer,Intermediate,2,"CSS,Docker,Kotlin",Backend Developer
Backend Developer,Intermediate,2,"Express,Vue,GCP",Backend Developer
Backend Developer,Intermediate,2,"Swift,Docker,Pandas",Backend Developer
Backend Developer,Intermediate,2,"Pandas,MongoDB,Azure",Backend Developer
Backend Developer,Intermediate,2,"Scikit-Learn,Swift,Sketch",Backend Developer
Backend Developer,Intermediate,2,"Scikit-Learn,SQL,Security",Backend Developer
Backend Developer,Intermediate,3,"Python,AWS,GCP",Backend Developer
Backend Developer,Intermediate,3,"CSS,Scikit-Learn,Docker",Backend Developer
Backend Developer,Intermediate,3,"Vue,Scikit-Learn,Kubernetes",Backend Developer
Backend Developer,Intermediate,3,"SQL,Microservices,Express",Backend Developer
Backend Developer,Intermediate,3,"Git,SQL,GCP",Backend Developer
Backend Developer,Intermediate,3,"NoSQL,MongoDB,PyTorch",Backend Developer
Backend Developer,Intermediate,3,"Kubernetes,React,AWS",Backend Developer
Backend Developer,Intermediate,3,"TensorFlow,MongoDB,CI/CD",Backend Developer
Backend Developer,Intermediate,3,"Kotlin,MongoDB,Sketch",Backend Developer
Backend Developer,Intermediate,3,"PostgreSQL,Git,Kotlin",Backend Developer
Backend Developer,Intermediate,4,"Angular,APIs,Kubernetes",Backend Developer
Backend Developer,Intermediate,4,"CSS,SQL,Figma",Backend Developer
Backend Developer,Intermediate,4,"NumPy,React,Swift",Backend Developer
Backend Developer,Intermediate,4,"Security,PyTorch,CI/CD",Backend Developer
Backend Developer,Intermediate,4,"JavaScript,Figma,CI/CD",Backend Developer
Backend Developer,Intermediate,4,"CI/CD,Python,Git",Backend Developer
Backend Developer,Intermediate,4,"Sketch,Pandas,Figma",Backend Developer
Backend Developer,Intermediate,4,"Security,PyTorch,NoSQL",Backend Developer
Backend Developer,Intermediate,4,"Express,Azure,NoSQL",Backend Developer
Backend Developer,Intermediate,4,"Scikit-Learn,Angular,CSS",Backend Developer
Backend Developer,Intermediate,5,"Pandas,NoSQL,HTML",Backend Developer
Backend Developer,Intermediate,5,"Docker,Linux,Azure",Backend Developer
Backend Developer,Intermediate,5,"Sketch,SQL,Scikit-Learn",Backend Developer
Backend Developer,Intermediate,5,"Linux,Scikit-Learn,Angular",Backend Developer
Backend Developer,Intermediate,5,"PostgreSQL,HTML,AWS",Backend Developer
Backend Developer,Intermediate,5,"Docker,Kotlin,Express",Backend Developer
Backend Developer,Intermediate,5,"Swift,MongoDB,GCP",Backend Developer
Backend Developer,Intermediate,5,"Kubernetes,SQL,Linux",Backend Developer
Backend Developer,Intermediate,5,"Sketch,MongoDB,Swift",Backend Developer
Backend Developer,Intermediate,5,"Kotlin,Swift,Express",Backend Developer
Backend Developer,Advanced,1,"Kotlin,Express,GCP",Backend Developer
Backend Developer,Advanced,1,"HTML,Git,Kubernetes",Backend Developer
Backend Developer,Advanced,1,"CSS,Vue,Kotlin",Backend Developer
Backend Developer,Advanced,1,"NoSQL,Express,Kubernetes",Backend Developer
Backend Developer,Advanced,1,"Sketch,AWS,Figma",Backend Developer
Backend Developer,Advanced,1,"CI/CD,Azure,Docker",Backend Developer
Backend Developer,Advanced,1,"React,TensorFlow,SQL",Backend Developer
Backend Developer,Advanced,1,"Linux,GCP,TensorFlow",Backend Developer
Backend Developer,Advanced,1,"Sketch,Kubernetes,HTML",Backend Developer
Backend Developer,Advanced,1,"CSS,PyTorch,React",Backend Developer
Backend Developer,Advanced,2,"Microservices,Git,AWS",Backend Developer
Backend Developer,Advanced,2,"Python,MongoDB,APIs",Backend Developer
Backend Developer,Advanced,2,"TensorFlow,PyTorch,Security",Backend Developer
Backend Developer,Advanced,2,"Express,Scikit-Learn,Pandas",Backend Developer
Backend Developer,Advanced,2,"JavaScript,CI/CD,Pandas",Backend Developer
Backend Developer,Advanced,2,"Sketch,Vue,Python",Backend Developer
Backend Developer,Advanced,2,"Swift,Express,AWS",Backend Developer
Backend Developer,Advanced,2,"Kubernetes,AWS,Linux",Backend Developer
Backend Developer,Advanced,2,"Node.js,Kubernetes,Docker",Backend Developer
Backend Developer,Advanced,2,"TensorFlow,GCP,NumPy",Backend Developer
Backend Developer,Advanced,3,"Linux,Python,Docker",Backend Developer
Backend Developer,Advanced,3,"Kotlin,Microservices,Docker",Backend Developer
Backend Developer,Advanced,3,"Python,Vue,CI/CD",Backend Developer
Backend Developer,Advanced,3,"GCP,Pandas,CSS",Backend Developer
Backend Developer,Advanced,3,"JavaScript,NoSQL,Python",Backend Developer
Backend Developer,Advanced,3,"Express,SQL,Angular",Backend Developer
Backend Developer,Advanced,3,"GCP,Azure,AWS",Backend Developer
Backend Developer,Advanced,3,"Sketch,AWS,CSS",Backend Developer
Backend Developer,Advanced,3,"Docker,Microservices,TensorFlow",Backend Developer
Backend Developer,Advanced,3,"Sketch,TensorFlow,JavaScript",Backend Developer
Backend Developer,Advanced,4,"PyTorch,Swift,MongoDB",Backend Developer
Backend Developer,Advanced,4,"Express,Pandas,Angular",Backend Developer
Backend Developer,Advanced,4,"Security,NoSQL,CI/CD",Backend Developer
Backend Developer,Advanced,4,"JavaScript,TensorFlow,NumPy",Backend Developer
Backend Developer,Advanced,4,"JavaScript,MongoDB,Linux",Backend Developer
Backend Developer,Advanced,4,"Vue,NumPy,Figma",Backend Developer
Backend Developer,Advanced,4,"Express,Linux,Git",Backend Developer
Backend Developer,Advanced,4,"Figma,JavaScript,Kubernetes",Backend Developer
Backend Developer,Advanced,4,"Pandas,MongoDB,Git",Backend Developer
Backend Developer,Advanced,4,"JavaScript,CI/CD,NoSQL",Backend Developer
Backend Developer,Advanced,5,"Azure,Vue,TensorFlow",Backend Developer
Backend Developer,Advanced,5,"Vue,Angular,Swift",Backend Developer
Backend Developer,Advanced,5,"Vue,Security,Docker",Backend Developer
Backend Developer,Advanced,5,"JavaScript,Microservices,CI/CD",Backend Developer
Backend Developer,Advanced,5,"AWS,Express,Swift",Backend Developer
Backend Developer,Advanced,5,"Node.js,MongoDB,APIs",Backend Developer
Backend Developer,Advanced,5,"Kotlin,HTML,NumPy",Backend Developer
Backend Developer,Advanced,5,"Python,Scikit-Learn,Figma",Backend Developer
Backend Developer,Advanced,5,"Swift,Git,Angular",Backend Developer
Backend Developer,Advanced,5,"Pandas,JavaScript,Git",Backend Developer
Full Stack Developer,Beginner,1,"Scikit-Learn,Figma,HTML",Full Stack Developer
Full Stack Developer,Beginner,1,"HTML,Swift,Node.js",Full Stack Developer
Full Stack Developer,Beginner,1,"APIs,HTML,Docker",Full Stack Developer
Full Stack Developer,Beginner,1,"MongoDB,Angular,Scikit-Learn",Full Stack Developer
Full Stack Developer,Beginner,1,"CSS,NumPy,Pandas",Full Stack Developer
Full Stack Developer,Beginner,1,"Swift,Pandas,CSS",Full Stack Developer
Full Stack Developer,Beginner,1,"Vue,AWS,PyTorch",Full Stack Developer
Full Stack Developer,Beginner,1,"MongoDB,Microservices,Angular",Full Stack Developer
Full Stack Developer,Beginner,1,"SQL,HTML,Azure",Full Stack Developer
Full Stack Developer,Beginner,1,"CSS,Azure,Express",Full Stack Developer
Full Stack Developer,Beginner,2,"Security,Scikit-Learn,NumPy",Full Stack Developer
Full Stack Developer,Beginner,2,"NoSQL,TensorFlow,Security",Full Stack Developer
Full Stack Developer,Beginner,2,"HTML,Scikit-Learn,Node.js",Full Stack Developer
Full Stack Developer,Beginner,2,"APIs,Python,HTML",Full Stack Developer
Full Stack Developer,Beginner,2,"HTML,Git,Node.js",Full Stack Developer
Full Stack Developer,Beginner,2,"CSS,Microservices,AWS",Full Stack Developer
Full Stack Developer,Beginner,2,"Figma,GCP,Sketch",Full Stack Developer
Full Stack Developer,Beginner,2,"Pandas,PostgreSQL,CSS",Full Stack Developer
Full Stack Developer,Beginner,2,"Python,React,Vue",Full Stack Developer
Full Stack Developer,Beginner,2,"TensorFlow,Figma,Git",Full Stack Developer
Full Stack Developer,Beginner,3,"Vue,GCP,Figma",Full Stack Developer
Full Stack Developer,Beginner,3,"Figma,Python,Swift",Full Stack Developer
Full Stack Developer,Beginner,3,"Git,Scikit-Learn,Sketch",Full Stack Developer
Full Stack Developer,Beginner,3,"SQL,CSS,Node.js",Full Stack Developer
Full Stack Developer,Beginner,3,"MongoDB,SQL,PostgreSQL",Full Stack Developer
Full Stack Developer,Beginner,3,"Swift,Git,Pandas",Full Stack Developer
Full Stack Developer,Beginner,3,"Node.js,CI/CD,Kotlin",Full Stack Developer
Full Stack Developer,Beginner,3,"Kubernetes,Linux,Scikit-Learn",Full Stack Developer
Full Stack Developer,Beginner,3,"Express,Azure,SQL",Full Stack Developer
Full Stack Developer,Beginner,3,"Python,Sketch,Kotlin",Full Stack Developer
Full Stack Developer,Beginner,4,"PostgreSQL,CSS,Kubernetes",Full Stack Developer
Full Stack Developer,Beginner,4,"JavaScript,Node.js,AWS",Full Stack Developer
Full Stack Developer,Beginner,4,"MongoDB,Scikit-Learn,Vue",Full Stack Developer
Full Stack Developer,Beginner,4,"Pandas,CSS,Git",Full Stack Developer
Full Stack Developer,Beginner,4,"Figma,PostgreSQL,TensorFlow",Full Stack Developer
Full Stack Developer,Beginner,4,"Security,CI/CD,Kotlin",Full Stack Developer
Full Stack Developer,Beginner,4,"React,Security,Figma",Full Stack Developer
Full Stack Developer,Beginner,4,"Express,Security,HTML",Full Stack Developer
Full Stack Developer,Beginner,4,"Kotlin,Figma,HTML",Full Stack Developer
Full Stack Developer,Beginner,4,"Angular,Docker,React",Full Stack Developer
Full Stack Developer,Beginner,5,"Sketch,React,GCP",Full Stack Developer
Full Stack Developer,Beginner,5,"Microservices,Scikit-Learn,PyTorch",Full Stack Developer
Full Stack Developer,Beginner,5,"SQL,Linux,Security",Full Stack Developer
Full Stack Developer,Beginner,5,"Express,Angular,Git",Full Stack Developer
Full Stack Developer,Beginner,5,"Node.js,Scikit-Learn,Git",Full Stack Developer
Full Stack Developer,Beginner,5,"Figma,Azure,PyTorch",Full Stack Developer
Full Stack Developer,Beginner,5,"Docker,TensorFlow,Git",Full Stack Developer
Full Stack Developer,Beginner,5,"Kotlin,Figma,Pandas",Full Stack Developer
Full Stack Developer,Beginner,5,"Security,PyTorch,HTML",Full Stack Developer
Full Stack Developer,Beginner,5,"Sketch,Swift,AWS",Full Stack Developer
Full Stack Developer,Intermediate,1,"PostgreSQL,Express,CI/CD",Full Stack Developer
Full Stack Developer,Intermediate,1,"Node.js,TensorFlow,Figma",Full Stack Developer
Full Stack Developer,Intermediate,1,"Kubernetes,Security,TensorFlow",Full Stack Developer
Full Stack Developer,Intermediate,1,"Python,Swift,CSS",Full Stack Developer
Full Stack Developer,Intermediate,1,"NoSQL,Pandas,TensorFlow",Full Stack Developer
Full Stack Developer,Intermediate,1,"Linux,Python,MongoDB",Full Stack Developer
Full Stack Developer,Intermediate,1,"Pandas,Kubernetes,Kotlin",Full Stack Developer
Full Stack Developer,Intermediate,1,"Kotlin,Kubernetes,Express",Full Stack Developer
Full Stack Developer,Intermediate,1,"HTML,JavaScript,Angular",Full Stack Developer
Full Stack Developer,Intermediate,1,"TensorFlow,Sketch,JavaScript",Full Stack Developer
Full Stack Developer,Intermediate,2,"Linux,Docker,Pandas",Full Stack Developer
Full Stack Developer,Intermediate,2,"AWS,CSS,APIs",Full Stack Developer
Full Stack Developer,Intermediate,2,"Docker,PyTorch,Security",Full Stack Developer
Full Stack Developer,Intermediate,2,"Figma,APIs,CI/CD",Full Stack Developer
